,Algo,lag,dropout,epochs,batch_size,loss,rmse,power_gen_rmse,r2,model_filename,time_ran
0,Linear Regression,NA,NA,NA,NA,NA,159.4473832821396,12.62724765268107,0.5772948572937608,1585025367_model_linear_mod.pkl,1585025385
1,LSTM,24,0.3,10,12,"{'loss': [389.788047026136, 229.50143428359547, 181.18062914013046, 167.5408136878715, 161.36832291920732, 158.46203542983483, 157.5577985101748, 155.79888421251556, 153.75110002191468, 152.41404136174435], 'val_loss': [265.52316670942935, 186.35983595743053, 157.00581502956442, 146.64736856552997, 142.42711484127634, 140.29338709289283, 138.33347397858876, 136.89393095697076, 135.86919951081802, 134.87796275941287]}",134.82610396338674,11.611464333295208,0.6425674329473082,1585025560_model_24_lag.h5,1585025563
2,LSTM,48,0.3,10,12,"{'loss': [331.5907426807356, 180.82300215288456, 158.9652890390628, 155.04716389193703, 151.504594649544, 150.90073774676512, 147.7255363651094, 148.05588173366746, 149.71024163315062, 147.61594122436992], 'val_loss': [197.509005554132, 150.37137050208543, 140.60485723722348, 137.3082440624153, 135.26819518001068, 134.34246511921484, 133.57631084677405, 132.5280872630653, 132.57796443989625, 131.5616025202075]}",131.48670439967256,11.46676521080259,0.651420393341366,1585025788_model_48_lag.h5,1585025791
3,LSTM,96,0.3,10,12,"{'loss': [281.5728830825986, 162.74878362529032, 153.66502518417644, 150.2451637665633, 148.61348559194894, 147.01588589808514, 146.65213606692305, 145.1268424449052, 144.82879535312028, 143.89761424918964], 'val_loss': [161.83274555710443, 141.57384705144403, 136.31114106871482, 134.4729837224347, 133.30970286818854, 132.62976454260067, 132.28948237381317, 131.75806603116612, 131.63277387577006, 130.87082992503295]}",130.75257825851625,11.43470936484685,0.6533666083802969,1585025994_model_96_lag.h5,1585025997
4,LSTM,240,0.3,10,12,"{'loss': [240.34701867971444, 160.38746375180466, 151.77735077548172, 148.117718050105, 146.74697692561855, 144.77010026826815, 144.14222563655264, 144.26081834662, 143.27712420397643, 142.73066352318008], 'val_loss': [153.10105808694982, 141.0116919614145, 135.94978831286997, 133.93847342755825, 133.38321737465878, 132.8394234989183, 132.2393658381727, 132.0609487365521, 131.32296345412468, 131.00139254347343]}",130.8218022344779,11.437735887599342,0.6531830912222525,1585026192_model_240_lag.h5,1585026196
5,LSTM,672,0.33,10,12,"{'loss': [215.28440441230003, 160.71664912606818, 152.3932582107523, 148.13214400026087, 146.33884524477423, 144.99174891382788, 144.54891077123418, 143.7468058775847, 142.5537970774277, 141.88547687519312], 'val_loss': [152.30642451567797, 142.61664895885318, 136.79915657547602, 134.69839221013274, 133.60753746620884, 133.18310381935555, 132.65556723556855, 132.190787278398, 131.58306851912175, 131.0165649724952]}",130.74405940675533,11.434336859072998,0.6533891923975141,1585026480_model_672_lag.h5,1585026483
